director_key,director_name
4dde202df9520dd00ab4f7f631b738b3,L. Frazier
88fc6c95a789d8791bc969df7c5ce276,Natalia Valdebenito
cdec2425d7f19a13d48ef0e5764585ac,Bashir El Deek
212039366e3c71d47f5075072885309c,Izidore K. Musallam
a022ee5162dffa3d889a55c40a29b899,Mostafa Abu Seif
967ffef78643c04137c353905b21b964,Ted Braun
6632216206bb9264213055ff1d401681,Andres Clariond
8c5cd3d3a8bf9526625a6be4a6354dfd,Randall Lobb
3200de44ab3e809f8e46c83b68aae179,Iman Brotoseno
724539b8503cbd7a0c9cf994d6f1622c,Hideaki Takizawa
4908f0c297621be163289f09b73360ec,Rarecho
d0418ac696ac2bf74e1870ee990d65a2,Jacob Joice
64333cedd311b0235401510f1a2f05d5,Kyran Kelly
76159c2e30306afe8a04bcc1de976aa6,Leopoldo Aguilar
2eeb2fdae59815aa77cdf5fdee5a7a9a,Gordon Chan
5096d0a9b6a2e2c0cea2bb73530833ee,Alphonso J. Wesson
f89bae57a32dba854407a6bdb731e532,Chris Appelhans
dd7595ea6018deb0c916189b3304e1b4,Sean McNamara
bb3000e925725e2c0b7986aedd06e004,Alex Zamm
9a3d4d199c86e30693602ecbda65fb5b,Christopher Smith
7bc48038a61382e3882f5de016f0f6de,David Hunt
385318c2a2085a15ec7787da3d85d1fc,Randal Kleiser
cd949c930194032c1b3125134dd263b3,Joshua Caldwell
5bc89e70b3b7ccac4c5ef1d4b9fb1fa4,Corbin Bernsen
75f570028a224af78a0adf53c5d4be9c,Harry Bradbeer
d6f95c8ef8c3881ae9d68869d20947a3,Don Michael Paul
43d5773f4ebb0f950aeb034b2aa46051,Colin Teague
4d7c56a2d2ea0a8d03229d75af6c9cc6,Ryan Murphy
cf6875eb72746466beb1ac55f702a8a0,Ian Samuels
124452ff8bc21091d9409e165fa53f5c,Errol Morris
e060df5d6f09293e3e1c57e162e56f4c,Reginald Hudlin
8ca0c1d2b59c10b973c64661cd382326,John Curran
01727578ea9ad4d07a84ee2b79e7dc56,Dallas Jackson
a396a11c98d02938959591efd8a46226,John Michael McDonagh
a9838a89a888685cca4b0b05f0913c7d,Nicolás López
c9eb03362021ecb11d87996f269fff67,Tony Giglio
58a049e5bf1c389387cfe7e9a0ee8178,Karen Maine
c0bb518329fddfe426d153fb492a9124,Noam Murro
3bf9be0bce7bd05cabf3f53e0c38afc9,Dee Rees
7b69a015822378e328ff04bd89799671,"Fernando Meirelles, Katia Lund"
b761b0f3292b33894b8aebc6c5c4e2a1,Tom Elkins
41509942de01870a5ef92cd818c835fe,David M. Rosenthal
0be842bcde29b729d6170c894169ad22,Prabhu Deva
